Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,4,Wed,11/6/2019,21:00 (23:00),Leverkusen de,1.3,2–1,2,es Atlético Madrid,"28,160",BayArena,Damir Skomina,Match Report,
Group stage,4,Wed,11/6/2019,21:00 (23:00),Paris S-G fr,1.9,1–0,1.8,be Club Brugge,"47,418",Parc des Princes,Bobby Madden,Match Report,
Group stage,4,Wed,11/6/2019,21:00 (23:00),Real Madrid es,4.2,6–0,0.6,tr Galatasaray,"65,492",Estadio Santiago Bernabéu,Felix Zwayer,Match Report,
Group stage,4,Wed,11/6/2019,21:00 (23:00),Red Star rs,0.5,0–4,2.5,eng Tottenham,"42,381",Stadion Rajko Mitić,Carlos del Cerro,Match Report,
Group stage,4,Wed,11/6/2019,21:00 (23:00),Dinamo Zagreb hr,2,3–3,2.7,ua Shakhtar,"28,316",Stadion Maksimir,Felix Brych,Match Report,
,,,,,,,,,,,,,,
Group stage,5,Tue,11/26/2019,20:00 (23:00),Manchester City eng,1.2,1–1,1,ua Shakhtar,"52,020",Etihad Stadium,Slavko Vinčič,Match Report,
Group stage,5,Tue,11/26/2019,20:00 (23:00),Tottenham eng,2.2,4–2,1.2,gr Olympiacos,"57,024",Tottenham Hotspur Stadium,Georgi Kabakov,Match Report,
Group stage,5,Tue,11/26/2019,20:55,Galatasaray tr,0.9,1–1,1.1,be Club Brugge,"34,500",Türk Telekom Arena,Ivan Kružliak,Match Report,
Group stage,5,Tue,11/26/2019,20:55,Loko Moscow ru,1,0–2,0.7,de Leverkusen,"25,757",RZD Arena,Michael Oliver,Match Report,
Group stage,5,Tue,11/26/2019,21:00 (23:00),Real Madrid es,3.9,2–2,2.4,fr Paris S-G,"75,534",Estadio Santiago Bernabéu,Artur Soares Dias,Match Report,
Group stage,5,Tue,11/26/2019,21:00 (23:00),Red Star rs,0.2,0–6,4.9,de Bayern Munich,"44,118",Stadion Rajko Mitić,Björn Kuipers,Match Report,
Group stage,5,Tue,11/26/2019,21:00 (23:00),Juventus it,0.4,1–0,0.7,es Atlético Madrid,"40,486",Allianz Stadium,Anthony Taylor,Match Report,
Group stage,5,Tue,11/26/2019,21:00 (23:00),Atalanta it,3,2–0,0.3,hr Dinamo Zagreb,"26,496",Stadio Giuseppe Meazza,Sergey Karasev,Match Report,
Group stage,5,Wed,11/27/2019,18:55 (20:55),Valencia es,3.1,2–2,2.1,eng Chelsea,"43,486",Estadio de Mestalla,Felix Zwayer,Match Report,
Group stage,5,Wed,11/27/2019,20:00 (23:00),Liverpool eng,0.8,1–1,0.5,it Napoli,"52,128",Anfield,Carlos del Cerro,Match Report,
Group stage,5,Wed,11/27/2019,20:55,Zenit ru,0.9,2–0,0.6,fr Lyon,"51,183",Gazprom Arena,Daniele Orsato,Match Report,
Group stage,5,Wed,11/27/2019,21:00 (23:00),Slavia Prague cz,2.4,1–3,2.3,it Inter,"19,370",Sinobo Stadium,Szymon Marciniak,Match Report,
Group stage,5,Wed,11/27/2019,21:00 (23:00),Genk be,1.6,1–4,3,at RB Salzburg,"17,284",Luminus Arena,Mattias Gestranius,Match Report,
Group stage,5,Wed,11/27/2019,21:00 (23:00),Lille fr,2.4,0–2,1.6,nl Ajax,"48,612",Stade Pierre-Mauroy,Felix Brych,Match Report,
Group stage,5,Wed,11/27/2019,21:00 (23:00),RB Leipzig de,3.2,2–2,0.9,pt Benfica,"38,339",Red Bull Arena,Jesús Gil,Match Report,
Group stage,5,Wed,11/27/2019,21:00 (23:00),Barcelona es,2.4,3–1,1.6,de Dortmund,"90,071",Camp Nou,Clément Turpin,Match Report,
,,,,,,,,,,,,,,
Group stage,6,Tue,12/10/2019,18:55 (20:55),Napoli it,3,4–0,1.8,be Genk,"22,265",Stadio San Paolo,Cüneyt Çakιr,Match Report,
Group stage,6,Tue,12/10/2019,18:55 (20:55),RB Salzburg at,0.7,0–2,3.4,eng Liverpool,"29,520",Red Bull Arena,Danny Makkelie,Match Report,
Group stage,6,Tue,12/10/2019,20:00 (23:00),Benfica pt,2.4,3–0,0.1,ru Zenit,"40,232",Estádio do Sport Lisboa e Benfica,Antonio Matéu Lahoz,Match Report,
Group stage,6,Tue,12/10/2019,20:00 (23:00),Chelsea eng,2.7,2–1,0.3,fr Lille,"40,016",Stamford Bridge,Anastasios Sidiropoulos,Match Report,
Group stage,6,Tue,12/10/2019,21:00 (23:00),Inter it,1.7,1–2,1.5,es Barcelona,"71,818",Stadio Giuseppe Meazza,Björn Kuipers,Match Report,
Group stage,6,Tue,12/10/2019,21:00 (23:00),Lyon fr,1.1,2–2,3.4,de RB Leipzig,"53,288",Groupama Stadium,Anthony Taylor,Match Report,
Group stage,6,Tue,12/10/2019,21:00 (23:00),Ajax nl,1.2,0–1,1.1,es Valencia,"51,931",Johan Cruyff ArenA,Clément Turpin,Match Report,
Group stage,6,Tue,12/10/2019,21:00 (23:00),Dortmund de,2.9,2–1,2.8,cz Slavia Prague,"65,079",Signal Iduna Park,Sergey Karasev,Match Report,
Group stage,6,Wed,12/11/2019,18:55 (20:55),Dinamo Zagreb hr,0.4,1–4,3.6,eng Manchester City,"29,385",Stadion Maksimir,Carlos del Cerro,Match Report,
Group stage,6,Wed,12/11/2019,19:55 (20:55),Shakhtar ua,0.6,0–3,2.9,it Atalanta,"26,536",Oblasny SportKomplex Metalist,Felix Zwayer,Match Report,
Group stage,6,Wed,12/11/2019,21:00 (23:00),Paris S-G fr,4.4,5–0,0.3,tr Galatasaray,"46,509",Parc des Princes,István Kovács,Match Report,
Group stage,6,Wed,12/11/2019,21:00 (23:00),Bayern Munich de,2.8,3–1,1,eng Tottenham,"66,353",Allianz Arena,Gianluca Rocchi,Match Report,
Group stage,6,Wed,12/11/2019,21:00 (23:00),Atlético Madrid es,3.2,2–0,0.1,ru Loko Moscow,"58,426",Estadio Wanda Metropolitano,Viktor Kassai,Match Report,
Group stage,6,Wed,12/11/2019,21:00 (23:00),Leverkusen de,2.2,0–2,0.9,it Juventus,"29,542",BayArena,Benoît Bastien,Match Report,
Group stage,6,Wed,12/11/2019,21:00 (23:00),Club Brugge be,1,1–3,1.2,es Real Madrid,"27,308",Jan Breydelstadion,Tobias Stieler,Match Report,
Group stage,6,Wed,12/11/2019,22:00 (23:00),Olympiacos gr,3.5,1–0,1.2,rs Red Star,"31,898",Stadio Georgios Karaiskáki,Daniele Orsato,Match Report,
,,,,,,,,,,,,,,
Round of 16,,Tue,2/18/2020,21:00 (23:00),Dortmund de,1.3,2–1,1.5,fr Paris S-G,"66,099",Signal Iduna Park,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
Round of 16,,Tue,2/18/2020,21:00 (23:00),Atlético Madrid es,1.2,1–0,0.5,eng Liverpool,"67,443",Estadio Wanda Metropolitano,Szymon Marciniak,Match Report,Leg 1 of 2
Round of 16,,Wed,2/19/2020,20:00 (23:00),Tottenham eng,1.1,0–1,2.1,de RB Leipzig,"60,095",Tottenham Hotspur Stadium,Cüneyt Çakιr,Match Report,Leg 1 of 2
Round of 16,,Wed,2/19/2020,21:00 (23:00),Atalanta it,1.8,4–1,2.5,es Valencia,"44,236",Stadio Giuseppe Meazza,Michael Oliver,Match Report,Leg 1 of 2
Round of 16,,Tue,2/25/2020,20:00 (23:00),Chelsea eng,1.1,0–3,3.4,de Bayern Munich,"36,761",Stamford Bridge,Clément Turpin,Match Report,Leg 1 of 2
Round of 16,,Tue,2/25/2020,21:00 (23:00),Napoli it,0.7,1–1,1.6,es Barcelona,"44,388",Stadio San Paolo,Felix Brych,Match Report,Leg 1 of 2
Round of 16,,Wed,2/26/2020,21:00 (23:00),Real Madrid es,1.2,1–2,3.2,eng Manchester City,"75,615",Estadio Santiago Bernabéu,Daniele Orsato,Match Report,Leg 1 of 2
Round of 16,,Wed,2/26/2020,21:00 (23:00),Lyon fr,1.1,1–0,1.1,it Juventus,"57,335",Groupama Stadium,Jesús Gil,Match Report,Leg 1 of 2
Round of 16,,Tue,3/10/2020,21:00 (23:00),Valencia es,2.2,3–4,2.7,it Atalanta,,Estadio de Mestalla,Ovidiu Hațegan,Match Report,Leg 2 of 2; Atalanta won
Round of 16,,Tue,3/10/2020,21:00 (23:00),RB Leipzig de,0.9,3–0,0.3,eng Tottenham,"42,146",Red Bull Arena,Carlos del Cerro,Match Report,Leg 2 of 2; RB Leipzig won
Round of 16,,Wed,3/11/2020,20:00 (23:00),Liverpool eng,3.4,2–3,1.1,es Atlético Madrid,"52,267",Anfield,Danny Makkelie,Match Report,Leg 2 of 2; Atlético Madrid won; Required Extra Time
Round of 16,,Wed,3/11/2020,21:00 (23:00),Paris S-G fr,1.2,2–0,0.5,de Dortmund,,Parc des Princes,Anthony Taylor,Match Report,Leg 2 of 2; Paris S-G won
Round of 16,,Fri,8/7/2020,20:00 (22:00),Manchester City eng,2.1,2–1,0.8,es Real Madrid,,Etihad Stadium,Felix Brych,Match Report,Leg 2 of 2; Manchester City won
Round of 16,,Fri,8/7/2020,21:00 (22:00),Juventus it,2.6,2–1,1,fr Lyon,,Allianz Stadium,Felix Zwayer,Match Report,Leg 2 of 2; Lyon won
Round of 16,,Sat,8/8/2020,21:00 (22:00),Barcelona es,1.1,3–1,2.2,it Napoli,,Camp Nou,Cüneyt Çakιr,Match Report,Leg 2 of 2; Barcelona won
Round of 16,,Sat,8/8/2020,21:00 (22:00),Bayern Munich de,2.9,4–1,1,eng Chelsea,,Allianz Arena,Ovidiu Hațegan,Match Report,Leg 2 of 2; Bayern Munich won
Quarter-finals,,Wed,8/12/2020,21:00 (22:00),Atalanta it,0.5,1–2,2.8,fr Paris S-G,,Estádio do Sport Lisboa e Benfica (Neutral Site),Anthony Taylor,Match Report,
Quarter-finals,,Thu,8/13/2020,21:00 (22:00),RB Leipzig de,0.9,2–1,1.1,es Atlético Madrid,,Estádio José Alvalade (Neutral Site),Szymon Marciniak,Match Report,
Quarter-finals,,Fri,8/14/2020,20:00 (22:00),Barcelona es,1.1,2–8,5.3,de Bayern Munich,,Estádio do Sport Lisboa e Benfica (Neutral Site),Damir Skomina,Match Report,
Quarter-finals,,Sat,8/15/2020,20:00 (22:00),Manchester City eng,2.5,1–3,1,fr Lyon,,Estádio José Alvalade (Neutral Site),Danny Makkelie,Match Report,
Semi-finals,,Tue,8/18/2020,20:00 (22:00),RB Leipzig de,1,0–3,3.2,fr Paris S-G,,Estádio do Sport Lisboa e Benfica,Björn Kuipers,Match Report,
Semi-finals,,Wed,8/19/2020,20:00 (22:00),Lyon fr,1.8,0–3,3.2,de Bayern Munich,,Estádio José Alvalade,Antonio Matéu Lahoz,Match Report,
Final,,Sun,8/23/2020,20:00 (22:00),Paris S-G fr,1.1,0–1,1.5,de Bayern Munich,,Estádio do Sport Lisboa e Benfica,Daniele Orsato,Match Report,
