Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular season,17,Sun,12/5/2021,17:00 (19:00),Nice,1.3,0–3,2.5,Strasbourg,"16,220",Stade de Nice,Jérémie Pignard,Match Report,
Regular season,17,Sun,12/5/2021,20:45 (22:45),Bordeaux,2.7,2–2,2.5,Lyon,"25,210",Stade Matmut-Atlantique,Jérôme Brisard,Match Report,
,,,,,,,,,,,,,,
Regular season,18,Fri,12/10/2021,21:00 (23:00),Nantes,1.5,3–2,0.9,Lens,"21,890",Stade de la Beaujoire - Louis Fonteneau,Stéphanie Frappart,Match Report,
Regular season,18,Sat,12/11/2021,17:00 (19:00),Brest,1.2,0–4,1.7,Montpellier,"13,111",Stade Francis-Le Blé,Benoît Millot,Match Report,
Regular season,18,Sat,12/11/2021,21:00 (23:00),Reims,2.5,2–0,0.3,Saint-Étienne,"12,019",Stade Auguste-Delaune II,Pierre Gaillouste,Match Report,
Regular season,18,Sun,12/12/2021,13:00 (15:00),Lille,1.5,0–0,0.5,Lyon,"40,248",Stade Pierre-Mauroy,Amaury Delerue,Match Report,
Regular season,18,Sun,12/12/2021,15:00 (17:00),Angers,1.7,0–1,1.9,Clermont Foot,"8,149",Stade Raymond Kopa,Jeremy Stinat,Match Report,
Regular season,18,Sun,12/12/2021,15:00 (17:00),Rennes,1.8,1–2,1.6,Nice,"27,892",Roazhon Park,Willy Delajod,Match Report,
Regular season,18,Sun,12/12/2021,15:00 (17:00),Troyes,1.8,1–2,1.1,Bordeaux,"7,950",Stade de l'Aube,Romain Lissorgue,Match Report,
Regular season,18,Sun,12/12/2021,15:00 (17:00),Metz,0.9,4–1,1.4,Lorient,"14,037",Stade Saint-Symphorien,Eric Wattellier,Match Report,
Regular season,18,Sun,12/12/2021,17:00 (19:00),Strasbourg,2,0–2,1,Marseille,"26,028",Stade de la Meinau,Mikael Lesage,Match Report,
Regular season,18,Sun,12/12/2021,20:45 (22:45),Paris S-G,1.8,2–0,0.9,Monaco,"41,154",Parc des Princes,Benoît Bastien,Match Report,
,,,,,,,,,,,,,,
Regular season,19,Wed,12/22/2021,21:00 (23:00),Lyon,2.5,1–1,0.7,Metz,"34,867",Groupama Stadium,Pierre Gaillouste,Match Report,
Regular season,19,Wed,12/22/2021,21:00 (23:00),Saint-Étienne,1.2,0–1,0.9,Nantes,"23,681",Stade Geoffroy-Guichard,Clément Turpin,Match Report,
Regular season,19,Wed,12/22/2021,21:00 (23:00),Lorient,1.8,1–1,2,Paris S-G,"16,603",Stade Yves Allainmat - Le Moustoir,Jérémie Pignard,Match Report,
Regular season,19,Wed,12/22/2021,21:00 (23:00),Nice,0.8,2–1,1.3,Lens,"22,065",Stade de Nice,Jérôme Brisard,Match Report,
Regular season,19,Wed,12/22/2021,21:00 (23:00),Monaco,1.9,2–1,1.4,Rennes,"5,354",Stade Louis II.,Ruddy Buquet,Match Report,
Regular season,19,Wed,12/22/2021,21:00 (23:00),Marseille,1.7,1–1,0.7,Reims,"55,908",Orange Vélodrome,François Letexier,Match Report,
Regular season,19,Wed,12/22/2021,21:00 (23:00),Montpellier,1.3,4–1,0.7,Angers,"10,990",Stade de la Mosson,Hugo Miguel,Match Report,
Regular season,19,Wed,12/22/2021,21:00 (23:00),Troyes,1.3,1–1,0.9,Brest,"6,872",Stade de l'Aube,Johan Hamel,Match Report,
Regular season,19,Wed,12/22/2021,21:00 (23:00),Bordeaux,1,2–3,1.4,Lille,"39,967",Stade Matmut-Atlantique,Mikael Lesage,Match Report,
,,,,,,,,,,,,,,
Regular season,20,Fri,1/7/2022,21:00 (23:00),Bordeaux,0.6,0–1,2.3,Marseille,,Stade Matmut-Atlantique,Eric Wattellier,Match Report,
Regular season,20,Sat,1/8/2022,21:00 (23:00),Lens,0.9,1–0,0.5,Rennes,"5,000",Stade Bollaert-Delelis,Benoît Bastien,Match Report,
Regular season,20,Sun,1/9/2022,13:00 (15:00),Brest,1.9,0–3,1.6,Nice,"5,102",Stade Francis-Le Blé,Stéphanie Frappart,Match Report,
Regular season,20,Sun,1/9/2022,15:00 (17:00),Metz,0.4,0–2,2.8,Strasbourg,"5,000",Stade Saint-Symphorien,Antony Gautier,Match Report,
Regular season,20,Sun,1/9/2022,15:00 (17:00),Clermont Foot,0.9,0–0,0.9,Reims,"4,923",Stade Gabriel Montpied,Romain Lissorgue,Match Report,
Regular season,20,Sun,1/9/2022,17:05 (19:05),Nantes,0.6,0–0,0.8,Monaco,"4,133",Stade de la Beaujoire - Louis Fonteneau,Thomas Léonard,Match Report,
Regular season,20,Sun,1/9/2022,20:45 (22:45),Lyon,1.3,1–1,1.8,Paris S-G,"4,977",Groupama Stadium,François Letexier,Match Report,
,,,,,,,,,,,,,,
Regular season,21,Fri,1/14/2022,21:00 (23:00),Nice,2.1,2–1,1.2,Nantes,"5,000",Stade de Nice,Ruddy Buquet,Match Report,
Regular season,21,Sat,1/15/2022,17:00 (19:00),Saint-Étienne,1.4,1–2,1.3,Lens,"5,000",Stade Geoffroy-Guichard,François Letexier,Match Report,
Regular season,21,Sat,1/15/2022,21:00 (23:00),Paris S-G,2.7,2–0,0.8,Brest,"4,925",Parc des Princes,Mikael Lesage,Match Report,
Regular season,21,Sun,1/16/2022,13:00 (15:00),Rennes,3.5,6–0,0.7,Bordeaux,"4,951",Roazhon Park,Bastien Dechepy,Match Report,
Regular season,21,Sun,1/16/2022,15:00 (17:00),Reims,0.7,0–1,1.1,Metz,"3,923",Stade Auguste-Delaune II,Jérémie Pignard,Match Report,
Regular season,21,Sun,1/16/2022,15:00 (17:00),Monaco,3.7,4–0,0.5,Clermont Foot,"2,633",Stade Louis II.,Jeremy Stinat,Match Report,
Regular season,21,Sun,1/16/2022,15:00 (17:00),Lorient,0.7,0–0,0.6,Angers,"4,387",Stade Yves Allainmat - Le Moustoir,Johan Hamel,Match Report,
Regular season,21,Sun,1/16/2022,15:00 (17:00),Strasbourg,2,3–1,0.8,Montpellier,"5,217",Stade de la Meinau,Pierre Gaillouste,Match Report,
Regular season,21,Sun,1/16/2022,17:05 (19:05),Troyes,0.4,0–1,2.7,Lyon,"4,224",Stade de l'Aube,Jérôme Brisard,Match Report,
Regular season,21,Sun,1/16/2022,20:45 (22:45),Marseille,1.9,1–1,0.9,Lille,"5,034",Orange Vélodrome,Amaury Delerue,Match Report,
,,,,,,,,,,,,,,
Regular season,19,Wed,1/19/2022,19:00 (21:00),Clermont Foot,0.9,0–2,1.7,Strasbourg,"4,219",Stade Gabriel Montpied,Bastien Dechepy,Match Report,
,,,,,,,,,,,,,,
Regular season,20,Wed,1/19/2022,19:00 (21:00),Montpellier,0.8,0–1,0.8,Troyes,"4,943",Stade de la Mosson,Jeremy Stinat,Match Report,
Regular season,20,Wed,1/19/2022,19:00 (21:00),Lille,1.6,3–1,1.4,Lorient,"4,834",Stade Pierre-Mauroy,Florent Batta,Match Report,
,,,,,,,,,,,,,,
Regular season,22,Fri,1/21/2022,21:00 (23:00),Lyon,2.4,1–0,0.2,Saint-Étienne,"5,000",Groupama Stadium,Antony Gautier,Match Report,
Regular season,22,Sat,1/22/2022,17:00 (19:00),Brest,1.3,2–0,1.7,Lille,"4,358",Stade Francis-Le Blé,Jérôme Brisard,Match Report,
Regular season,22,Sat,1/22/2022,21:00 (23:00),Lens,0.8,0–2,1.5,Marseille,"5,000",Stade Bollaert-Delelis,Stéphanie Frappart,Match Report,
Regular season,22,Sun,1/23/2022,13:00 (15:00),Metz,0.4,0–2,2.1,Nice,"5,000",Stade Saint-Symphorien,Amaury Delerue,Match Report,
Regular season,22,Sun,1/23/2022,15:00 (17:00),Clermont Foot,1.3,2–1,1.7,Rennes,"4,535",Stade Gabriel Montpied,Thomas Léonard,Match Report,
Regular season,22,Sun,1/23/2022,15:00 (17:00),Nantes,1.1,4–2,1.9,Lorient,"4,275",Stade de la Beaujoire - Louis Fonteneau,Pierre Gaillouste,Match Report,
Regular season,22,Sun,1/23/2022,15:00 (17:00),Angers,2.5,2–1,1.4,Troyes,"5,000",Stade Raymond Kopa,Romain Lissorgue,Match Report,
Regular season,22,Sun,1/23/2022,15:00 (17:00),Bordeaux,2.1,4–3,1.9,Strasbourg,"3,308",Stade Matmut-Atlantique,Mikael Lesage,Match Report,
Regular season,22,Sun,1/23/2022,17:05 (19:05),Montpellier,2,3–2,1.3,Monaco,"5,000",Stade de la Mosson,Jérémie Pignard,Match Report,
Regular season,22,Sun,1/23/2022,20:45 (22:45),Paris S-G,2.6,4–0,0.6,Reims,"5,000",Parc des Princes,Eric Wattellier,Match Report,
,,,,,,,,,,,,,,
Regular season,20,Wed,1/26/2022,19:00 (21:00),Angers,0.4,0–1,0.6,Saint-Étienne,,Stade Raymond Kopa,Clément Turpin,Match Report,
,,,,,,,,,,,,,,
Regular season,14,Tue,2/1/2022,21:00 (23:00),Lyon,1.1,2–1,0.7,Marseille,,Groupama Stadium,Benoît Bastien,Match Report,
,,,,,,,,,,,,,,
Regular season,23,Fri,2/4/2022,21:00 (23:00),Marseille,2.6,5–2,0.5,Angers,"60,000",Orange Vélodrome,Jeremy Stinat,Match Report,
Regular season,23,Sat,2/5/2022,17:00 (19:00),Saint-Étienne,2.3,3–1,0.5,Montpellier,"20,000",Stade Geoffroy-Guichard,Thomas Léonard,Match Report,
Regular season,23,Sat,2/5/2022,21:00 (23:00),Monaco,2.3,2–0,1.6,Lyon,"6,550",Stade Louis II.,Ruddy Buquet,Match Report,
Regular season,23,Sun,2/6/2022,13:00 (15:00),Lorient,1.6,2–0,0.6,Lens,"10,687",Stade Yves Allainmat - Le Moustoir,Romain Lissorgue,Match Report,
Regular season,23,Sun,2/6/2022,15:00 (17:00),Reims,2.3,5–0,0.2,Bordeaux,"8,858",Stade Auguste-Delaune II,Antony Gautier,Match Report,
Regular season,23,Sun,2/6/2022,15:00 (17:00),Nice,1.2,0–1,1.6,Clermont Foot,"18,022",Stade de Nice,Jérôme Brisard,Match Report,
Regular season,23,Sun,2/6/2022,15:00 (17:00),Troyes,0.7,0–0,0.5,Metz,"7,227",Stade de l'Aube,Pierre Gaillouste,Match Report,
Regular season,23,Sun,2/6/2022,15:00 (17:00),Strasbourg,1.8,1–0,0.6,Nantes,"22,240",Stade de la Meinau,Amaury Delerue,Match Report,
Regular season,23,Sun,2/6/2022,17:00 (19:00),Rennes,2.4,2–0,0.3,Brest,"25,409",Roazhon Park,Johan Hamel,Match Report,
Regular season,23,Sun,2/6/2022,20:45 (22:45),Lille,1.4,1–5,3.6,Paris S-G,"48,437",Stade Pierre-Mauroy,François Letexier,Match Report,
,,,,,,,,,,,,,,
Regular season,24,Fri,2/11/2022,21:00 (23:00),Paris S-G,1.2,1–0,1,Rennes,"47,000",Parc des Princes,Benoît Bastien,Match Report,
Regular season,24,Sat,2/12/2022,17:00 (19:00),Montpellier,1.1,0–1,1.5,Lille,"11,784",Stade de la Mosson,Stéphanie Frappart,Match Report,
Regular season,24,Sat,2/12/2022,21:00 (23:00),Lyon,2.7,2–0,0.1,Nice,"41,974",Groupama Stadium,Benoît Millot,Match Report,
Regular season,24,Sun,2/13/2022,13:00 (15:00),Monaco,1.4,0–0,0.2,Lorient,"3,963",Stade Louis II.,Bastien Dechepy,Match Report,
Regular season,24,Sun,2/13/2022,15:00 (17:00),Angers,0.8,0–1,0.3,Strasbourg,"6,521",Stade Raymond Kopa,Pierre Gaillouste,Match Report,
Regular season,24,Sun,2/13/2022,15:00 (17:00),Brest,3,5–1,0.4,Troyes,"10,600",Stade Francis-Le Blé,Florent Batta,Match Report,
Regular season,24,Sun,2/13/2022,15:00 (17:00),Nantes,0.7,1–0,0.7,Reims,"14,304",Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,Match Report,
Regular season,24,Sun,2/13/2022,15:00 (17:00),Clermont Foot,0.8,1–2,0.8,Saint-Étienne,"12,131",Stade Gabriel Montpied,Ruddy Buquet,Match Report,
Regular season,24,Sun,2/13/2022,17:05 (19:05),Lens,2.1,3–2,0.9,Bordeaux,"32,662",Stade Bollaert-Delelis,François Letexier,Match Report,
Regular season,24,Sun,2/13/2022,20:45 (22:45),Metz,0.8,1–2,1.6,Marseille,"25,482",Stade Saint-Symphorien,Eric Wattellier,Match Report,
,,,,,,,,,,,,,,
Regular season,25,Fri,2/18/2022,21:00 (23:00),Lille,1.8,0–0,0.4,Metz,"30,384",Stade Pierre-Mauroy,Bastien Dechepy,Match Report,
Regular season,25,Sat,2/19/2022,17:00 (19:00),Lens,1.1,1–1,1.3,Lyon,"36,624",Stade Bollaert-Delelis,Jérôme Brisard,Match Report,
Regular season,25,Sat,2/19/2022,21:00 (23:00),Nantes,2.5,3–1,3.9,Paris S-G,"35,500",Stade de la Beaujoire - Louis Fonteneau,Mikael Lesage,Match Report,
Regular season,25,Sun,2/20/2022,13:00 (15:00),Nice,0.9,1–0,1,Angers,"18,257",Stade de Nice,Romain Lissorgue,Match Report,
Regular season,25,Sun,2/20/2022,15:00 (17:00),Saint-Étienne,1.3,2–2,0.9,Strasbourg,"24,897",Stade Geoffroy-Guichard,Antony Gautier,Match Report,
Regular season,25,Sun,2/20/2022,15:00 (17:00),Reims,0.8,1–1,2,Brest,"9,307",Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Match Report,
Regular season,25,Sun,2/20/2022,15:00 (17:00),Rennes,3.1,4–1,0.7,Troyes,"22,967",Roazhon Park,Clément Turpin,Match Report,
Regular season,25,Sun,2/20/2022,15:00 (17:00),Lorient,0.9,0–1,0.5,Montpellier,"10,135",Stade Yves Allainmat - Le Moustoir,Jeremy Stinat,Match Report,
Regular season,25,Sun,2/20/2022,17:05 (19:05),Bordeaux,0.6,1–1,1.6,Monaco,"29,557",Stade Matmut-Atlantique,Jérémie Pignard,Match Report,
Regular season,25,Sun,2/20/2022,20:45 (22:45),Marseille,1.6,0–2,0.7,Clermont Foot,"53,840",Orange Vélodrome,Willy Delajod,Match Report,
,,,,,,,,,,,,,,
Regular season,26,Fri,2/25/2022,21:00 (23:00),Montpellier,1.1,2–4,2,Rennes,"10,000",Stade de la Mosson,Amaury Delerue,Match Report,
Regular season,26,Sat,2/26/2022,17:00 (19:00),Strasbourg,1.1,0–0,0.2,Nice,"25,150",Stade de la Meinau,Stéphanie Frappart,Match Report,
Regular season,26,Sat,2/26/2022,21:00 (23:00),Paris S-G,2.6,3–1,1,Saint-Étienne,"45,000",Parc des Princes,Pierre Gaillouste,Match Report,
Regular season,26,Sun,2/27/2022,13:00 (15:00),Monaco,1.9,1–2,1.4,Reims,"3,982",Stade Louis II.,Benoît Millot,Match Report,
Regular season,26,Sun,2/27/2022,15:00 (17:00),Angers,0.7,1–2,0.6,Lens,"9,499",Stade Raymond Kopa,Thomas Léonard,Match Report,
Regular season,26,Sun,2/27/2022,15:00 (17:00),Metz,0.5,0–0,0.8,Nantes,"15,851",Stade Saint-Symphorien,Florent Batta,Match Report,
Regular season,26,Sun,2/27/2022,15:00 (17:00),Clermont Foot,0.7,1–1,1,Bordeaux,"12,032",Stade Gabriel Montpied,Eric Wattellier,Match Report,
Regular season,26,Sun,2/27/2022,15:00 (17:00),Brest,0.2,0–1,2.3,Lorient,"14,050",Stade Francis-Le Blé,Benoît Bastien,Match Report,
Regular season,26,Sun,2/27/2022,17:05 (19:05),Troyes,1.4,1–1,1.2,Marseille,"16,871",Stade de l'Aube,François Letexier,Match Report,
Regular season,26,Sun,2/27/2022,20:45 (22:45),Lyon,1.7,0–1,0.8,Lille,"42,647",Groupama Stadium,Clément Turpin,Match Report,
,,,,,,,,,,,,,,
Regular season,27,Fri,3/4/2022,21:00 (23:00),Lorient,1.7,1–4,2.6,Lyon,"13,497",Stade Yves Allainmat - Le Moustoir,Romain Lissorgue,Match Report,
Regular season,27,Sat,3/5/2022,17:00 (19:00),Lens,1.8,0–1,0.5,Brest,"36,305",Stade Bollaert-Delelis,Johan Hamel,Match Report,
Regular season,27,Sat,3/5/2022,21:00 (23:00),Nice,1,1–0,0.8,Paris S-G,"31,949",Stade de Nice,Willy Delajod,Match Report,
Regular season,27,Sun,3/6/2022,13:00 (15:00),Saint-Étienne,1.4,1–0,0.7,Metz,"35,706",Stade Geoffroy-Guichard,Jeremy Stinat,Match Report,
Regular season,27,Sun,3/6/2022,15:00 (17:00),Nantes,1.8,2–0,0.2,Montpellier,"21,589",Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Match Report,
Regular season,27,Sun,3/6/2022,15:00 (17:00),Reims,0.8,1–1,0.9,Strasbourg,"10,405",Stade Auguste-Delaune II,Jérémie Pignard,Match Report,
Regular season,27,Sun,3/6/2022,15:00 (17:00),Rennes,2.1,2–0,0.5,Angers,"27,693",Roazhon Park,Benoît Millot,Match Report,
Regular season,27,Sun,3/6/2022,15:00 (17:00),Bordeaux,0.7,0–2,2.4,Troyes,"20,287",Stade Matmut-Atlantique,Ruddy Buquet,Match Report,
Regular season,27,Sun,3/6/2022,17:05 (19:05),Lille,2.1,4–0,0.9,Clermont Foot,"33,515",Stade Pierre-Mauroy,Thomas Léonard,Match Report,
Regular season,27,Sun,3/6/2022,20:45 (22:45),Marseille,1.1,0–1,0.7,Monaco,"56,510",Orange Vélodrome,Antony Gautier,Match Report,
,,,,,,,,,,,,,,
Regular season,28,Fri,3/11/2022,21:00 (23:00),Lille,1.1,0–0,0.6,Saint-Étienne,"40,146",Stade Pierre-Mauroy,Florent Batta,Match Report,
Regular season,28,Sat,3/12/2022,17:00 (19:00),Montpellier,3.2,0–0,0.7,Nice,"11,658",Stade de la Mosson,Clément Turpin,Match Report,
Regular season,28,Sat,3/12/2022,21:00 (23:00),Troyes,1.9,1–0,0.5,Nantes,"7,400",Stade de l'Aube,Stéphanie Frappart,Match Report,
Regular season,28,Sun,3/13/2022,13:00 (15:00),Paris S-G,1.1,3–0,0.9,Bordeaux,"44,000",Parc des Princes,François Letexier,Match Report,
Regular season,28,Sun,3/13/2022,15:00 (17:00),Strasbourg,1,1–0,0.8,Monaco,"25,231",Stade de la Meinau,Eric Wattellier,Match Report,
Regular season,28,Sun,3/13/2022,15:00 (17:00),Clermont Foot,1.1,0–2,1.5,Lorient,"11,359",Stade Gabriel Montpied,Bastien Dechepy,Match Report,
Regular season,28,Sun,3/13/2022,15:00 (17:00),Metz,0.7,0–0,0.8,Lens,"15,687",Stade Saint-Symphorien,Amaury Delerue,Match Report,
Regular season,28,Sun,3/13/2022,15:00 (17:00),Angers,2.5,0–1,1.6,Reims,"5,960",Stade Raymond Kopa,Mikael Lesage,Match Report,
Regular season,28,Sun,3/13/2022,17:05 (19:05),Lyon,1.4,2–4,1.3,Rennes,"46,597",Groupama Stadium,Antony Gautier,Match Report,
Regular season,28,Sun,3/13/2022,20:45 (22:45),Brest,0.7,1–4,2,Marseille,"14,611",Stade Francis-Le Blé,Ruddy Buquet,Match Report,
,,,,,,,,,,,,,,
Regular season,29,Fri,3/18/2022,21:00 (23:00),Saint-Étienne,1.4,1–1,1.2,Troyes,"32,193",Stade Geoffroy-Guichard,Romain Lissorgue,Match Report,
Regular season,29,Sat,3/19/2022,17:00 (19:00),Lens,1.8,3–1,1.5,Clermont Foot,"36,182",Stade Bollaert-Delelis,Jeremy Stinat,Match Report,
Regular season,29,Sat,3/19/2022,21:00 (23:00),Nantes,1,0–1,1.3,Lille,"25,977",Stade de la Beaujoire - Louis Fonteneau,Pierre Gaillouste,Match Report,
Regular season,29,Sun,3/20/2022,13:00 (15:00),Monaco,2.3,3–0,1,Paris S-G,"16,642",Stade Louis II.,Benoît Bastien,Match Report,
Regular season,29,Sun,3/20/2022,15:00 (17:00),Angers,2.1,1–0,1.3,Brest,"7,734",Stade Raymond Kopa,Jérémie Pignard,Match Report,
Regular season,29,Sun,3/20/2022,15:00 (17:00),Rennes,3.4,6–1,0.7,Metz,"27,966",Roazhon Park,Willy Delajod,Match Report,
Regular season,29,Sun,3/20/2022,15:00 (17:00),Bordeaux,4,0–2,0.7,Montpellier,"15,000",Stade Matmut-Atlantique,Thomas Léonard,Match Report,
Regular season,29,Sun,3/20/2022,15:00 (17:00),Lorient,0.6,0–0,1.5,Strasbourg,"9,806",Stade Yves Allainmat - Le Moustoir,Benoît Millot,Match Report,
Regular season,29,Sun,3/20/2022,17:05 (19:05),Reims,0.5,0–0,2.2,Lyon,"14,091",Stade Auguste-Delaune II,Johan Hamel,Match Report,
Regular season,29,Sun,3/20/2022,20:45 (22:45),Marseille,1.6,2–1,1.3,Nice,"64,722",Orange Vélodrome,Jérôme Brisard,Match Report,
,,,,,,,,,,,,,,
Regular season,30,Sat,4/2/2022,17:00 (18:00),Nice,1.3,1–1,1.3,Rennes,"24,086",Stade de Nice,Benoît Bastien,Match Report,
Regular season,30,Sat,4/2/2022,19:00 (20:00),Lille,3,0–0,0.1,Bordeaux,"36,351",Stade Pierre-Mauroy,Bastien Dechepy,Match Report,
Regular season,30,Sun,4/3/2022,13:00 (14:00),Strasbourg,2.8,1–0,1.1,Lens,"26,005",Stade de la Meinau,François Letexier,Match Report,
Regular season,30,Sun,4/3/2022,15:00 (16:00),Metz,1.1,1–2,2.1,Monaco,"19,812",Stade Saint-Symphorien,Jérôme Brisard,Match Report,
Regular season,30,Sun,4/3/2022,15:00 (16:00),Saint-Étienne,0.2,2–4,3.9,Marseille,"41,278",Stade Geoffroy-Guichard,Clément Turpin,Match Report,
Regular season,30,Sun,4/3/2022,15:00 (16:00),Troyes,1.3,1–0,0.8,Reims,"9,482",Stade de l'Aube,Ruddy Buquet,Match Report,
Regular season,30,Sun,4/3/2022,15:00 (16:00),Montpellier,1.5,1–2,0.9,Brest,"10,929",Stade de la Mosson,Florent Batta,Match Report,
Regular season,30,Sun,4/3/2022,15:00 (16:00),Clermont Foot,0.9,2–3,1.8,Nantes,"11,785",Stade Gabriel Montpied,Mikael Lesage,Match Report,
Regular season,30,Sun,4/3/2022,17:05 (18:05),Lyon,1.7,3–2,1.7,Angers,"34,376",Groupama Stadium,Eric Wattellier,Match Report,
Regular season,30,Sun,4/3/2022,20:45 (21:45),Paris S-G,2.4,5–1,0.7,Lorient,"40,000",Parc des Princes,Hakim Ben El Hadj Salem,Match Report,
,,,,,,,,,,,,,,
Regular season,31,Fri,4/8/2022,21:00 (22:00),Lorient,4,6–2,1.2,Saint-Étienne,"15,407",Stade Yves Allainmat - Le Moustoir,Ruddy Buquet,Match Report,
Regular season,31,Sat,4/9/2022,17:00 (18:00),Reims,2.7,2–3,1.8,Rennes,"10,243",Stade Auguste-Delaune II,Romain Lissorgue,Match Report,
Regular season,31,Sat,4/9/2022,21:00 (22:00),Clermont Foot,1.4,1–6,4.6,Paris S-G,"12,264",Stade Gabriel Montpied,Eric Wattellier,Match Report,
Regular season,31,Sun,4/10/2022,13:00 (14:00),Bordeaux,1.9,3–1,1,Metz,"21,652",Stade Matmut-Atlantique,Jérémie Pignard,Match Report,
Regular season,31,Sun,4/10/2022,15:00 (16:00),Monaco,0.7,2–1,0.9,Troyes,"4,786",Stade Louis II.,Mikael Lesage,Match Report,
Regular season,31,Sun,4/10/2022,15:00 (16:00),Angers,0.8,1–1,1.1,Lille,"9,286",Stade Raymond Kopa,Thomas Léonard,Match Report,
Regular season,31,Sun,4/10/2022,15:00 (16:00),Brest,1.4,1–1,1.1,Nantes,"13,145",Stade Francis-Le Blé,Johan Hamel,Match Report,
Regular season,31,Sun,4/10/2022,17:05 (18:05),Lens,0.6,3–0,1.6,Nice,"36,668",Stade Bollaert-Delelis,Willy Delajod,Match Report,
Regular season,31,Sun,4/10/2022,19:00 (20:00),Strasbourg,1.2,1–1,2,Lyon,"26,073",Stade de la Meinau,Clément Turpin,Match Report,
Regular season,31,Sun,4/10/2022,21:00 (22:00),Marseille,3.1,2–0,0.5,Montpellier,"51,131",Orange Vélodrome,Jeremy Stinat,Match Report,
,,,,,,,,,,,,,,
Regular season,32,Fri,4/15/2022,21:00 (22:00),Rennes,1.7,2–3,2.8,Monaco,"28,336",Roazhon Park,Stéphanie Frappart,Match Report,
Regular season,32,Sat,4/16/2022,17:00 (18:00),Saint-Étienne,1.3,2–1,0.6,Brest,"27,227",Stade Geoffroy-Guichard,Eric Wattellier,Match Report,
Regular season,32,Sat,4/16/2022,21:00 (22:00),Lille,1.1,1–2,1.4,Lens,"48,169",Stade Pierre-Mauroy,Jérôme Brisard,Match Report,
Regular season,32,Sun,4/17/2022,13:00 (14:00),Nice,1.9,2–1,0.4,Lorient,"17,212",Stade de Nice,Amaury Delerue,Match Report,
Regular season,32,Sun,4/17/2022,15:00 (16:00),Nantes,3.4,1–1,0.9,Angers,"25,102",Stade de la Beaujoire - Louis Fonteneau,Bastien Dechepy,Match Report,
Regular season,32,Sun,4/17/2022,15:00 (16:00),Metz,0.4,1–1,3.4,Clermont Foot,"14,335",Stade Saint-Symphorien,Pierre Gaillouste,Match Report,
Regular season,32,Sun,4/17/2022,15:00 (16:00),Montpellier,1.4,0–0,1.3,Reims,"10,170",Stade de la Mosson,Antony Gautier,Match Report,
Regular season,32,Sun,4/17/2022,15:00 (16:00),Troyes,1.5,1–1,1.1,Strasbourg,"10,000",Stade de l'Aube,Benoît Millot,Match Report,
Regular season,32,Sun,4/17/2022,17:05 (18:05),Lyon,2.4,6–1,1.8,Bordeaux,"38,713",Groupama Stadium,Florent Batta,Match Report,
Regular season,32,Sun,4/17/2022,20:45 (21:45),Paris S-G,0.8,2–1,0.9,Marseille,"46,000",Parc des Princes,François Letexier,Match Report,
,,,,,,,,,,,,,,
Regular season,33,Wed,4/20/2022,19:00 (20:00),Reims,1.7,2–1,1.3,Lille,"10,910",Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Match Report,
Regular season,33,Wed,4/20/2022,19:00 (20:00),Monaco,2.3,1–0,1,Nice,"10,247",Stade Louis II.,Benoît Millot,Match Report,
Regular season,33,Wed,4/20/2022,19:00 (20:00),Bordeaux,1.2,2–2,1.2,Saint-Étienne,"38,515",Stade Matmut-Atlantique,Benoît Bastien,Match Report,
Regular season,33,Wed,4/20/2022,19:00 (20:00),Lorient,2,1–0,1.8,Metz,"13,544",Stade Yves Allainmat - Le Moustoir,Mikael Lesage,Match Report,
Regular season,33,Wed,4/20/2022,19:00 (20:00),Troyes,1.5,0–1,0.3,Clermont Foot,"7,800",Stade de l'Aube,Jérémie Pignard,Match Report,
Regular season,33,Wed,4/20/2022,21:00 (22:00),Angers,0.8,0–3,2.1,Paris S-G,"13,000",Stade Raymond Kopa,Johan Hamel,Match Report,
Regular season,33,Wed,4/20/2022,21:00 (22:00),Strasbourg,2.8,2–1,1.2,Rennes,"25,148",Stade de la Meinau,Willy Delajod,Match Report,
Regular season,33,Wed,4/20/2022,21:00 (22:00),Lens,1.3,2–0,0.8,Montpellier,"36,250",Stade Bollaert-Delelis,Romain Lissorgue,Match Report,
Regular season,33,Wed,4/20/2022,21:00 (22:00),Brest,0.9,2–1,3,Lyon,"14,028",Stade Francis-Le Blé,Jeremy Stinat,Match Report,
Regular season,33,Wed,4/20/2022,21:00 (22:00),Marseille,2,3–2,0.6,Nantes,"55,890",Orange Vélodrome,Ruddy Buquet,Match Report,
,,,,,,,,,,,,,,
Regular season,34,Sat,4/23/2022,17:00 (18:00),Lyon,4.4,5–2,2.1,Montpellier,"46,608",Groupama Stadium,François Letexier,Match Report,
Regular season,34,Sat,4/23/2022,19:00 (20:00),Saint-Étienne,1.1,1–4,3.1,Monaco,"30,018",Stade Geoffroy-Guichard,Bastien Dechepy,Match Report,
Regular season,34,Sat,4/23/2022,21:00 (22:00),Paris S-G,2.5,1–1,0.8,Lens,"47,000",Parc des Princes,Amaury Delerue,Match Report,
